pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,a,b,c,d,e,sigma,sigma_r,N,type,mean_T,std_T,mean_FeH,std_FeH
D1,57,9770.3011,22,0.8484,9861.7337,26,5.0638,2.8751,-0.5608,,-1.4225,0.278,0.040990635620883,0.030485676894477,30,C,5.30126666666667,0.450146045436614,-0.117333333333333,0.306114720688539
D2,57,9787.6874,22,0.8259,9887.0468,14,6.2227,4.0545,-0.6745,,-3.2899,0.5485,0.075862513151281,0.044409405062326,25,C,5.37936,0.415499880144387,-0.0684,0.296049725552989
D3,56,10034.491,22,1.4601,10068.329,14,6.0986,28.4164,-9.5773,0.7914,,,0.102289274767264,0.047481588636278,13,B,5.28438461538462,0.39401338096402,,
D4,54,10340.885,26,2.1979,10469.652,26,3.8835,0.6774,-0.1512,,-0.6406,0.1372,0.04015236348277,0.014165317623888,34,C,5.36058823529412,0.459814804001827,-0.123823529411765,0.305604653355032
D5,54,10343.819,20,2.9325,10371.263,14,4.9296,8.3559,-2.8165,0.2352,-0.9276,0.1698,0.02714963079267,0.021712768383863,35,F,5.37125714285714,0.457448223009658,-0.135714285714286,0.309084229983495
D6,54,10395.794,26,2.1759,10407.037,14,6.6161,10.9235,-3.457,0.2767,-2.9523,0.4764,0.030219508776862,0,27,F,5.52651851851852,0.384504334163346,-0.115185185185185,0.307093547942526
D7,54,10396.802,22,0.8484,10330.228,28,4.1054,6.9604,-1.9996,0.1375,-2.008,0.335,0.031858186952893,0,29,F,5.32313793103448,0.443400163636597,-0.08448275862069,0.272404190140649
D8,54,10423.027,26,2.6924,10347.965,26,5.3933,1.3351,-0.2618,,,,0.054323335719932,0.043567526499564,27,A,5.28381481481482,0.432892000647928,,
D9,54,10423.743,26,3.0713,10288.944,14,4.9201,1.8522,-0.4022,,-2.0849,0.423,0.046612761402243,0.021872857846178,28,C,5.27821428571429,0.447765193340602,-0.088214285714286,0.289273147875209
D10,53,10486.25,24,3.0106,10603.425,14,4.9296,5.4295,-1.7268,0.1118,-1.2692,0.3265,0.068817940619459,0.048407960406194,31,F,5.35716129032258,0.451553168860559,-0.12258064516129,0.300794300541572
D11,53,10496.113,22,0.836,10530.514,28,4.1054,8.5478,-2.5165,0.1806,-2.0322,0.3424,0.053726593402957,0.023378136430214,26,F,5.3635,0.435215706906887,-0.053846153846154,0.269487789406224
D12,53,10510.01,24,3.0133,10585.141,14,4.9538,5.4692,-1.8986,0.1287,1.3371,-0.1551,0.03668523689541,0,20,F,5.25795,0.433650144125423,-0.0565,0.307559343867163
D13,53,10532.234,26,3.9286,10582.16,14,6.2227,14.3047,-4.778,0.4037,-2.3572,0.3765,0.031121326602127,0,22,F,5.34172727272727,0.364766822382113,-0.07,0.26481554472363
D14,53,10577.139,26,3.3014,10535.709,26,6.2057,1.4069,-0.2771,,,,0.052138449789272,0.013724641545376,23,A,5.37286956521739,0.448224934248888,,
D15,53,10616.721,26,3.2671,10627.648,14,5.8625,4.9861,-1.6481,0.1111,-0.8008,0.2329,0.035787938781582,0,23,F,5.33134782608696,0.436549773913548,-0.020434782608696,0.256895821565856
D16,52,10753.004,26,3.9597,10727.406,14,5.984,0.9767,-0.2764,,-0.8045,0.1924,0.040043967769375,0.03066265761018,31,C,5.35409677419355,0.448383933616134,-0.103870967741936,0.310999195303957
D17,52,10818.274,26,3.9597,10843.858,14,5.8625,1.0993,-0.3008,,-0.4699,0.1407,0.039401249317291,0.011338510102876,31,C,5.3521935483871,0.461957994135261,-0.123225806451613,0.311917969952339
D18,52,10821.66,24,3.0133,10849.465,26,5.5392,10.3892,-3.4416,0.2687,-2.5075,0.5308,0.055949347283648,0,21,F,5.23666666666667,0.447349158757754,0.024285714285714,0.243556416238941
D19,52,10838.97,20,4.8775,10885.333,14,6.1807,10.8838,-3.8184,0.3149,,0.0661,0.087454142833045,0.067129715911776,29,E,5.34448275862069,0.466065528964481,-0.078965517241379,0.305527749488473
D20,52,10881.758,26,2.845,10869.536,14,5.0823,1.17,-0.3577,,,0.0615,0.051069108407774,0.039101366407643,32,D,5.32690625,0.452076898835737,-0.1075,0.307733651068582
D21,52,10884.262,26,3.9286,10882.809,14,5.984,5.1102,-1.6167,0.1181,-1.08,0.2073,0.056704725938852,0.02399789504801,31,F,5.382,0.434418929665378,-0.089677419354839,0.295956447002549
D22,48,11638.26,26,2.1759,11640.941,14,6.2739,8.7102,-2.7615,0.2225,-0.1477,,0.068355343693874,0.021868277150515,33,H,5.38127272727273,0.450947572893593,-0.117272727272727,0.30403620923983
D23,48,11772.838,19,1.6171,11700.239,14,6.2694,15.4193,-5.3476,0.467,-1.5839,0.2461,0.102789301750768,0.090854982312684,32,F,5.3420625,0.459489454279149,-0.1684375,0.30258376293805
D24,47,11884.083,26,2.2227,11984.198,14,4.9296,5.5305,-1.8701,0.1493,0.0734,,0.025459215414404,0.020576109521011,33,H,5.33572727272727,0.447044725084521,-0.138181818181818,0.31745631572973
D25,47,11955.955,20,4.1308,11863.92,14,5.984,17.578,-5.9388,0.4942,0.1394,,0.097764123690955,0.065969709296661,22,H,5.37286363636364,0.376661566861305,-0.024545454545455,0.28499963752333
D26,47,11973.046,26,2.1759,11991.568,14,4.9201,3.8986,-1.2418,0.0963,,,0.024891996185375,0.020917232787807,33,B,5.3340303030303,0.444554764315563,,
D27,46,12190.098,26,3.6352,12178.339,14,6.2694,2.8673,-0.5145,,-3.0894,0.5681,0.051864204823774,0,25,C,5.3368,0.424839734488195,-0.0756,0.301039266541759
D28,46,12227.112,26,4.607,12175.733,14,6.6192,10.1991,-3.3434,0.2771,-2.7863,0.4366,0.096560152447195,0.060625593368614,24,F,5.47304166666667,0.409639829521686,-0.051666666666667,0.285856413062378
D29,45,12342.916,26,4.6382,12583.924,14,6.6161,2.5265,-0.4598,,-2.3071,0.4528,0.093087285021977,0.069160873544145,25,C,5.38092,0.471125114592716,-0.114,0.290585615610959
D30,45,12432.273,19,1.61,12390.154,14,5.0823,12.4193,-4.1854,0.3466,-0.8474,0.1939,0.056080463809266,0.04130095179023,29,F,5.31865517241379,0.456420879260546,-0.128965517241379,0.322280075534932
D31,45,12532.84,24,2.7088,12395.832,14,4.9538,16.9262,-5.9337,0.4955,0.2176,,0.091699316394668,0.055254795823143,25,H,5.27596,0.424779329063927,-0.0904,0.308952811930884
D32,45,12556.996,26,2.2786,12433.452,12,5.9328,1.1018,-0.2739,,-0.9422,0.1954,0.050889765955969,0.037372927142241,28,C,5.34907142857143,0.436380725691571,-0.091785714285714,0.321059113064296
D33,44,12847.034,22,1.4432,12615.928,26,4.6382,8.4499,-2.6944,0.2065,,-0.0203,0.054733797462002,0.032572776028038,26,E,5.26223076923077,0.428584280167974,-0.160384615384615,0.297676654329063
D34,43,12909.07,20,4.43,13102.057,14,6.0827,1.7491,-0.4035,,,0.0354,0.172183145924835,0.155956001281837,27,D,5.2852962962963,0.44596236469799,-0.069259259259259,0.290452086007517
D35,43,12910.09,24,2.7079,13152.743,14,4.9201,-6.7589,3.013,-0.3354,-5.4002,1.0013,0.057434472316703,0,14,F,5.31285714285714,0.389590234760072,0.063571428571429,0.196962909592395
D36,43,12975.91,25,2.8884,13029.524,14,6.0827,2.7194,-0.4212,,-2.5372,0.4688,0.116054014411436,0.098641331235186,31,C,5.34383870967742,0.439717805164836,-0.096774193548387,0.295420827194832
D37,43,13006.684,26,2.9904,13176.888,14,5.8625,1.7228,-0.4147,,,0.0765,0.076119104923953,0.066232817907096,31,D,5.30822580645161,0.446246547627554,-0.105161290322581,0.312377676371263
D38,43,13033.554,20,4.441,13030.921,14,6.0787,14.2153,-4.941,0.4209,,0.0164,0.069863752620012,0.050938527948767,33,E,5.34118181818182,0.453411743745562,-0.126969696969697,0.315243867587338
